windowDuration,timeSinceLastSensorEvent,prevDominantSensor1,prevDominantSensor2,lastSensorLocation,lastMotionLocation,complexity,activityChange,areaTransitions,numDistinctSensors,sensorCount-Bathroom,sensorCount-Bedroom,sensorCount-Chair,sensorCount-DiningRoom,sensorCount-Hall,sensorCount-Ignore,sensorCount-Kitchen,sensorCount-LivingRoom,sensorCount-Office,sensorCount-OutsideDoor,sensorCount-WorkArea,sensorElTime-Bathroom,sensorElTime-Bedroom,sensorElTime-Chair,sensorElTime-DiningRoom,sensorElTime-Hall,sensorElTime-Ignore,sensorElTime-Kitchen,sensorElTime-LivingRoom,sensorElTime-Office,sensorElTime-OutsideDoor,sensorElTime-WorkArea,labels,time_of_day
46.0,1.0,7.0,9.0,0.0,0.0,0.6500224216483541,0.5,0.0,0.0,28.74,0.0,0.0,0.0,0.0,5.61,0.0,0.0,0.0,0.0,0.0,0.0,267.72624,86400.0,667.614252,86400.0,3.593743,454.319884,273.92437,86400.0,287.382139,86400.0,5,3
96.0,0.0,0.0,5.0,1.0,1.0,0.0928999619808534,0.5104166666666666,0.0,0.0,32.34,1.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,7.78395,0.0,86400.0,86400.0,86400.0,0.053828,86400.0,4599.835178,86400.0,86400.0,86400.0,2,3
108.0,0.0,0.0,0.0,1.0,1.0,0.4689955935892812,0.7037037037037037,0.0,0.0,0.0,31.180000000000007,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,0.0,138.606839,0.0,86400.0,516.39989,86400.0,0.171962,516.706417,455.791865,86400.0,86400.0,86400.0,8,3
25.0,4.0,0.0,0.0,6.0,6.0,0.8812908992306927,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,23.750000000000004,0.0,0.0,0.0,0.0,87.712614,84.252515,86400.0,86400.0,86400.0,5.494198,0.0,74.413318,86400.0,86400.0,86400.0,3,3
89.0,1.0,6.0,7.0,5.0,6.0,1.0529815751302696,0.8089887640449438,3.0,0.0,0.0,0.0,0.0,2.33,0.0,6.590000000000001,25.43,0.0,0.0,0.0,0.0,2968.985349,2940.553498,86400.0,35.844785,86400.0,0.0,1.340887,128.276215,86400.0,3176.010497,86400.0,1,5
104.0,0.0,5.0,5.0,5.0,0.0,1.565596230357602,0.3846153846153846,3.0,0.0,13.29,12.38,0.0,0.0,0.0,8.68,0.0,0.0,0.0,0.0,0.0,6.894778,80.306181,86400.0,86400.0,86400.0,0.0,86400.0,4349.409795,86400.0,86400.0,86400.0,2,3
40.0,2.0,0.0,6.0,1.0,1.0,0.7582709093002934,0.475,1.0,0.0,1.2900000000000005,26.070000000000004,0.0,0.0,0.0,6.990000000000001,0.0,0.0,0.0,0.0,0.0,40.154777,0.0,86400.0,417.947828,86400.0,10.306858,418.254355,357.339803,86400.0,86400.0,86400.0,8,3
94.0,1.0,6.0,6.0,3.0,3.0,0.9110646787306328,0.5425531914893617,1.0,0.0,0.0,0.0,0.0,22.63,0.0,10.44,1.2800000000000002,0.0,0.0,0.0,0.0,3434.643756,3431.1927,86400.0,0.0,86400.0,37.35762,93.385317,464.313249,86400.0,670.52706,86400.0,0,3
57.0,2.0,0.0,7.0,0.0,0.0,0.7219280948873623,0.4561403508771929,0.0,0.0,27.42,0.0,0.0,0.0,0.0,6.930000000000001,0.0,0.0,0.0,0.0,0.0,0.0,303.721869,86400.0,703.609881,86400.0,2.064873,490.315513,309.919999,86400.0,323.377768,86400.0,5,3
135.0,1.0,6.0,6.0,3.0,3.0,1.272905595320056,0.1259259259259259,5.0,0.0,0.0,0.0,0.0,17.23,0.0,2.4800000000000004,14.64,0.0,0.0,0.0,0.0,3157.389662,3154.587818,86400.0,0.0,86400.0,120.81604,117.993278,477.765633,86400.0,483.839911,86400.0,0,3
48.0,1.0,7.0,9.0,5.0,0.0,0.6500224216483541,0.4375,0.0,0.0,28.890000000000008,0.0,0.0,0.0,0.0,5.460000000000001,0.0,0.0,0.0,0.0,0.0,1.059923,264.132497,86400.0,664.020509,86400.0,0.0,450.726141,270.330627,86400.0,283.788396,86400.0,5,3
942.0,0.0,6.0,5.0,7.0,7.0,0.7219280948873623,0.6369426751592356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.040000000000006,0.0,6.3100000000000005,0.0,0.0,0.0,2454.046535,2393.678443,86400.0,984.813988,86400.0,0.316524,986.575806,0.0,86400.0,2816.463157,86400.0,7,4
594.0,7.0,5.0,6.0,5.0,7.0,1.6997906153230322,0.0505050505050505,3.0,0.0,0.0,0.0,0.0,2.4700000000000006,0.0,16.25,6.330000000000001,9.3,0.0,0.0,0.0,2040.074535,1979.706443,86400.0,570.841988,86400.0,0.0,572.603806,544.049846,86400.0,2402.491157,86400.0,7,4
203.0,0.0,5.0,7.0,6.0,6.0,1.7424026703036974,0.2660098522167488,1.0,0.0,0.0,0.0,0.0,2.4000000000000004,0.0,11.46,14.18,6.3100000000000005,0.0,0.0,0.0,6066.866918,1789.566817,86400.0,154.233721,86400.0,0.072626,0.0,157.516887,86400.0,5696.52933,86400.0,4,7
144.0,2.0,6.0,6.0,3.0,3.0,0.9182958340544896,0.3055555555555556,0.0,0.0,0.0,0.0,0.0,22.77,0.0,11.580000000000002,0.0,0.0,0.0,0.0,0.0,3496.311677,3492.860621,86400.0,0.0,86400.0,5.036147,155.053238,525.98117,86400.0,732.194981,86400.0,0,3
226.0,1.0,9.0,6.0,0.0,0.0,1.403673636418766,0.5265486725663717,3.0,0.0,18.48,9.830000000000002,0.0,0.0,0.0,6.040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,221.608036,86400.0,621.496048,86400.0,26.966024,408.20168,227.806166,86400.0,241.263935,86400.0,5,3
57.0,13.0,0.0,7.0,5.0,0.0,0.7219280948873623,0.4385964912280701,0.0,0.0,27.540000000000003,0.0,0.0,0.0,0.0,6.8100000000000005,0.0,0.0,0.0,0.0,0.0,13.118673,301.656996,86400.0,701.545008,86400.0,0.0,488.25064,307.855126,86400.0,321.312895,86400.0,5,3
1314.0,37.0,5.0,5.0,5.0,-1.0,0.0,0.4634703196347032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.35,0.0,0.0,0.0,0.0,0.0,86400.0,86400.0,86400.0,86400.0,86400.0,0.0,86400.0,3838.622,86400.0,86400.0,86400.0,6,3
67.0,6.0,6.0,7.0,6.0,6.0,0.6500224216483541,0.4328358208955223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.55,28.800000000000004,0.0,0.0,0.0,0.0,6153.920243,1876.620142,86400.0,241.287046,86400.0,10.7533,0.0,244.570212,86400.0,5783.582655,86400.0,4,7
95.0,0.0,0.0,5.0,0.0,0.0,0.0928999619808534,0.5263157894736842,1.0,0.0,32.32000000000001,1.01,0.0,0.0,0.0,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.832885,86400.0,86400.0,86400.0,0.886713,86400.0,4600.668063,86400.0,86400.0,86400.0,2,3
194.0,1.0,5.0,5.0,0.0,0.0,1.5709505944546684,0.634020618556701,3.0,0.0,9.63,14.270000000000003,0.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0,68.929412,86400.0,86400.0,86400.0,1.123813,86400.0,4338.033026,86400.0,86400.0,86400.0,2,3
364.0,1.0,6.0,6.0,3.0,3.0,0.9480782435939056,0.2719780219780219,0.0,0.0,0.0,0.0,0.0,21.91,0.0,12.44,0.0,0.0,0.0,0.0,0.0,3758.797869,3755.346813,86400.0,0.0,86400.0,1.159993,417.53943,788.467362,86400.0,994.681173,86400.0,0,3
461.0,0.0,7.0,6.0,5.0,7.0,1.7147366491799203,0.9587852494577006,2.0,0.0,0.0,0.0,0.0,2.1100000000000003,0.0,17.350000000000005,0.0,6.48,0.0,8.41,0.0,14191.143722,14189.942138,86400.0,3.901525,86400.0,0.0,554.70434,0.432638,86400.0,15.75597,86400.0,7,6
87.0,0.0,6.0,0.0,3.0,3.0,0.6067807509426306,0.5057471264367817,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.33,29.020000000000003,0.0,0.0,0.0,0.0,176.494031,173.033932,86400.0,0.0,86400.0,0.062271,18.111358,163.194735,86400.0,86400.0,86400.0,3,3
815.0,1.0,5.0,5.0,1.0,1.0,0.9729143147225048,0.9030674846625768,2.0,0.0,1.01,11.72,0.0,0.0,0.0,21.620000000000005,0.0,0.0,0.0,0.0,0.0,0.784739,0.0,86400.0,86400.0,86400.0,3.994726,86400.0,4268.166399,86400.0,86400.0,86400.0,2,3
42.0,1.0,6.0,6.0,6.0,6.0,1.7876264269863311,0.6666666666666666,5.0,0.0,0.0,14.160000000000002,0.0,1.04,0.0,8.130000000000003,2.01,9.01,0.0,0.0,0.0,233.756579,7.950744,86400.0,3.175713,86400.0,1.562248,0.0,2.815026,86400.0,86400.0,86400.0,3,3
204.0,6.0,9.0,6.0,5.0,0.0,1.8787261337980536,0.034313725490196,5.0,0.0,10.57,11.77,0.0,0.0,0.0,8.21,0.0,3.8000000000000007,0.0,0.0,0.0,6.760718,194.642012,86400.0,594.530024,86400.0,0.0,381.235656,200.840142,86400.0,214.297911,86400.0,5,3
